hgnc_symbol,gene_biotype,ensembl_gene_id,GO_category,kegg,Cluster,Core,DEG
RBM33-DT,lncRNA,ENSG00000216895,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CEBPZOS,protein_coding,ENSG00000218739,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
HTR5A-AS1,lncRNA,ENSG00000220575,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
EXOSC6,protein_coding,ENSG00000223496,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000224746,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TMEM246-AS1,lncRNA,ENSG00000225376,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
LINC01504,lncRNA,ENSG00000225434,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SNX10-AS1,lncRNA,ENSG00000225792,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
NOL7,protein_coding,ENSG00000225921,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SLC16A1-AS1,lncRNA,ENSG00000226419,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000226471,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
LENG8-AS1,lncRNA,ENSG00000226696,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CERS6-AS1,lncRNA,ENSG00000227617,No enriched GO,No_kegg,AD_cluster1,core,non DEG
SNAP25-AS1,lncRNA,ENSG00000227906,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000228302,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
RRAGC-DT,lncRNA,ENSG00000228436,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000229047,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000229591,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000230325,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000230612,No enriched GO,No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000231760,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
IPO9-AS1,lncRNA,ENSG00000231871,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000232377,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SMIM26,protein_coding,ENSG00000232388,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
HSPA12A-AS1,lncRNA,ENSG00000232767,No enriched GO,No_kegg,AD_cluster1,core,non DEG
KIFAP3-AS1,lncRNA,ENSG00000232959,No enriched GO,No_kegg,AD_cluster1,core,non DEG
RAB6D,protein_coding,ENSG00000233087,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
SLC26A4-AS1,lncRNA,ENSG00000233705,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000233912,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
SNRK-AS1,lncRNA,ENSG00000234617,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000234758,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000235288,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SMIM27,protein_coding,ENSG00000235453,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000236031,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000236065,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
BCL2L1-AS1,lncRNA,ENSG00000236559,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NIFK-AS1,lncRNA,ENSG00000236859,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CDKN2AIPNL,protein_coding,ENSG00000237190,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
SYP-AS1,lncRNA,ENSG00000237341,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000237481,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000237633,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,Down-regulated
LRIG2-DT,lncRNA,ENSG00000238198,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
EXO5-DT,lncRNA,ENSG00000238287,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NME1,protein_coding,ENSG00000239672,Mitochondrial energy production,No_kegg,AD_cluster1,non core,Down-regulated
MRPS17,protein_coding,ENSG00000239789,gene expression,No_kegg,AD_cluster1,non core,non DEG
PNMA2,protein_coding,ENSG00000240694,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
RDH14,protein_coding,ENSG00000240857,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000241111,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MUC20-OT1,lncRNA,ENSG00000242086,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
AMACR,protein_coding,ENSG00000242110,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000242588,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MEF2C-AS2,lncRNA,ENSG00000245864,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TTBK2-AS1,lncRNA,ENSG00000246283,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
OIP5-AS1,lncRNA,ENSG00000247556,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PCDHAC1,protein_coding,ENSG00000248383,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
STIMATE-MUSTN1,protein_coding,ENSG00000248592,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000248733,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
,protein_coding,ENSG00000249624,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000250407,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000251095,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
C8orf88,protein_coding,ENSG00000253250,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
STAU2-AS1,lncRNA,ENSG00000253302,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
,lncRNA,ENSG00000253358,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000253645,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ATXN7L3B,protein_coding,ENSG00000253719,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
OTUD6B-AS1,lncRNA,ENSG00000253738,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000253875,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MAL2-AS1,lncRNA,ENSG00000253972,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
NPIPB11,protein_coding,ENSG00000254206,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000254236,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000254317,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,Down-regulated
,lncRNA,ENSG00000254433,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000254604,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TMEM9B-AS1,lncRNA,ENSG00000254860,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000254873,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000254907,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SLC39A13-AS1,lncRNA,ENSG00000255197,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000255202,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
EID1,protein_coding,ENSG00000255302,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000255366,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000255422,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000255455,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000255467,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NPIPB8,protein_coding,ENSG00000255524,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000255639,No enriched GO,No_kegg,AD_cluster1,core,non DEG
,protein_coding,ENSG00000256206,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000256591,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000257434,No enriched GO,No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000257894,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000258424,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000258466,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000258903,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000259007,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000259049,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000259287,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000259546,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000259623,"Apoptosis,gene expression,Mitochondrial energy production,No enriched GO,Others",No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000259712,No enriched GO,No_kegg,AD_cluster1,core,non DEG
CRIM1-DT,lncRNA,ENSG00000260025,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
NORAD,lncRNA,ENSG00000260032,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
,lncRNA,ENSG00000260037,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000260108,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000260170,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CDH13-AS2,lncRNA,ENSG00000260228,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
ITFG1-AS1,lncRNA,ENSG00000260281,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,Down-regulated
,protein_coding,ENSG00000260342,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000260349,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
LCMT1-AS1,lncRNA,ENSG00000260448,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000260482,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000260495,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000260545,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
LINC01963,lncRNA,ENSG00000260804,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000260838,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000261147,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TFIP11-DT,lncRNA,ENSG00000261188,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
DIS3L-AS1,lncRNA,ENSG00000261318,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000261604,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
RNF213-AS1,lncRNA,ENSG00000263069,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000263244,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
LASP1NB,protein_coding,ENSG00000263874,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
,protein_coding,ENSG00000264058,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
DTX2P1-UPK3BP1-PMS2P11,lncRNA,ENSG00000265479,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000265579,No enriched GO,No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000265794,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000265845,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NDUFV2-AS1,lncRNA,ENSG00000266053,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000266076,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MRPS21,protein_coding,ENSG00000266472,gene expression,No_kegg,AD_cluster1,non core,non DEG
CEP192-DT,lncRNA,ENSG00000266969,No enriched GO,No_kegg,AD_cluster1,core,non DEG
WDR7-OT1,lncRNA,ENSG00000267225,No enriched GO,No_kegg,AD_cluster1,core,non DEG
ATF7-NPFF,protein_coding,ENSG00000267281,No enriched GO,No_kegg,AD_cluster1,non core,Up-regulated
,protein_coding,ENSG00000268750,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ZNF587B,protein_coding,ENSG00000269343,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ZIM2,protein_coding,ENSG00000269699,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ARHGAP19-SLIT1,protein_coding,ENSG00000269891,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000270050,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
FBXW7-AS1,lncRNA,ENSG00000270751,Synapse signaling,No_kegg,AD_cluster1,core,non DEG
ATP2B1-AS1,lncRNA,ENSG00000271614,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
,lncRNA,ENSG00000271933,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
GTF2H5,protein_coding,ENSG00000272047,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000272182,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000272335,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000272770,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
,protein_coding,ENSG00000272772,No enriched GO,No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000273156,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SNURF,protein_coding,ENSG00000273173,No enriched GO,No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000273262,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000273269,No enriched GO,No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000273275,No enriched GO,No_kegg,AD_cluster1,core,non DEG
ZNHIT3,protein_coding,ENSG00000273611,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TAF9,protein_coding,ENSG00000273841,Apoptosis,No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000274629,No enriched GO,No_kegg,AD_cluster1,core,non DEG
ZKSCAN2-DT,lncRNA,ENSG00000274925,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000274944,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000275674,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000275764,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000276012,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000276997,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000277159,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PSMB3,protein_coding,ENSG00000277791,No enriched GO,kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000277954,No enriched GO,No_kegg,AD_cluster1,core,non DEG
,protein_coding,ENSG00000280571,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000280987,No enriched GO,No_kegg,AD_cluster1,core,non DEG
EBLN3P,lncRNA,ENSG00000281649,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000282022,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000284697,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,Down-regulated
,lncRNA,ENSG00000285117,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000285582,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000285651,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000285772,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000285830,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000285889,"Apoptosis,gene expression,intracellular trafficking,Mitochondrial energy production,No enriched GO,Others,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
,protein_coding,ENSG00000285920,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000285926,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000286018,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000286037,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
,lncRNA,ENSG00000286125,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ARMCX5-GPRASP2,protein_coding,ENSG00000286237,No enriched GO,No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000286575,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000286670,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000286757,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000287058,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000287077,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000287456,intracellular trafficking,No_kegg,AD_cluster1,core,non DEG
,lncRNA,ENSG00000287952,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000287967,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000288665,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,lncRNA,ENSG00000288670,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
,protein_coding,ENSG00000288698,No enriched GO,No_kegg,AD_cluster1,core,non DEG
FGR,protein_coding,ENSG00000000938,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
TMEM176A,protein_coding,ENSG00000002933,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
ALS2,protein_coding,ENSG00000003393,"Neurogenesis,Synapse signaling",No_kegg,AD_cluster2,non core,non DEG
PLXND1,protein_coding,ENSG00000004399,Neurogenesis,No_kegg,AD_cluster2,non core,non DEG
VPS50,protein_coding,ENSG00000004766,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
CDC27,protein_coding,ENSG00000004897,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
DVL2,protein_coding,ENSG00000004975,No enriched GO,kegg,AD_cluster2,non core,non DEG
SKAP2,protein_coding,ENSG00000005020,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
ITGAL,protein_coding,ENSG00000005844,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
OSBPL7,protein_coding,ENSG00000006025,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
AGK,protein_coding,ENSG00000006530,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
VPS41,protein_coding,ENSG00000006715,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
PAX6,protein_coding,ENSG00000007372,Neurogenesis,No_kegg,AD_cluster2,non core,non DEG
RHBDF1,protein_coding,ENSG00000007384,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
CDK11A,protein_coding,ENSG00000008128,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
NADK,protein_coding,ENSG00000008130,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
ADAM22,protein_coding,ENSG00000008277,No enriched GO,No_kegg,AD_cluster2,core,non DEG
NFIX,protein_coding,ENSG00000008441,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
HEATR5B,protein_coding,ENSG00000008869,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
TENM1,protein_coding,ENSG00000009694,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
POMT2,protein_coding,ENSG00000009830,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
RANBP9,protein_coding,ENSG00000010017,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
HHATL,protein_coding,ENSG00000010282,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
LRRC23,protein_coding,ENSG00000010626,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
HIVEP2,protein_coding,ENSG00000010818,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
APBA3,protein_coding,ENSG00000011132,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
PTBP1,protein_coding,ENSG00000011304,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
PLAUR,protein_coding,ENSG00000011422,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
RABGAP1,protein_coding,ENSG00000011454,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
SLC25A39,protein_coding,ENSG00000013306,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
TACC3,protein_coding,ENSG00000013810,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
YAF2,protein_coding,ENSG00000015153,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
WAS,protein_coding,ENSG00000015285,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
RGPD5,protein_coding,ENSG00000015568,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
CHDH,protein_coding,ENSG00000016391,No enriched GO,No_kegg,AD_cluster2,non core,Up-regulated
CNTN1,protein_coding,ENSG00000018236,Neurogenesis,No_kegg,AD_cluster2,non core,non DEG
ADGRA2,protein_coding,ENSG00000020181,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
PLEKHB1,protein_coding,ENSG00000021300,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
NRXN3,protein_coding,ENSG00000021645,Neurogenesis,No_kegg,AD_cluster2,non core,non DEG
EHD2,protein_coding,ENSG00000024422,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
CCDC28A,protein_coding,ENSG00000024862,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
HSF2,protein_coding,ENSG00000025156,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
NR1H3,protein_coding,ENSG00000025434,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
BRD9,protein_coding,ENSG00000028310,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
TFB1M,protein_coding,ENSG00000029639,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
LRRC7,protein_coding,ENSG00000033122,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
ASTE1,protein_coding,ENSG00000034533,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
STAU2,protein_coding,ENSG00000040341,Neurogenesis,No_kegg,AD_cluster2,non core,non DEG
CTNS,protein_coding,ENSG00000040531,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
CDH10,protein_coding,ENSG00000040731,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
RAB27B,protein_coding,ENSG00000041353,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
RIPOR3,protein_coding,ENSG00000042062,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
ZPBP,protein_coding,ENSG00000042813,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
ZIC2,protein_coding,ENSG00000043355,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
EPHA3,protein_coding,ENSG00000044524,Neurogenesis,No_kegg,AD_cluster2,non core,non DEG
YTHDC2,protein_coding,ENSG00000047188,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
ATP6V1H,protein_coding,ENSG00000047249,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
GOPC,protein_coding,ENSG00000047932,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
HDAC9,protein_coding,ENSG00000048052,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
R3HDM1,protein_coding,ENSG00000048991,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
KITLG,protein_coding,ENSG00000049130,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
H6PD,protein_coding,ENSG00000049239,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
ELN,protein_coding,ENSG00000049540,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
NEXMIF,protein_coding,ENSG00000050030,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
LAMC3,protein_coding,ENSG00000050555,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
PIK3CB,protein_coding,ENSG00000051382,No enriched GO,kegg,AD_cluster2,non core,non DEG
FOXC1,protein_coding,ENSG00000054598,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
SZRD1,protein_coding,ENSG00000055070,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
CUL1,protein_coding,ENSG00000055130,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
CCDC85A,protein_coding,ENSG00000055813,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
HPF1,protein_coding,ENSG00000056050,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
ATG5,protein_coding,ENSG00000057663,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
CDK14,protein_coding,ENSG00000058091,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
PPP1R12A,protein_coding,ENSG00000058272,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
CROCC,protein_coding,ENSG00000058453,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
CDK17,protein_coding,ENSG00000059758,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
STYK1,protein_coding,ENSG00000060140,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
HDAC7,protein_coding,ENSG00000061273,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
FAR2,protein_coding,ENSG00000064763,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
HMG20B,protein_coding,ENSG00000064961,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
ZNF76,protein_coding,ENSG00000065029,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
NHERF2,protein_coding,ENSG00000065054,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
MAP2K4,protein_coding,ENSG00000065559,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
TIE1,protein_coding,ENSG00000066056,No enriched GO,No_kegg,AD_cluster2,non core,non DEG
